client_id	path	sentence	up_votes	down_votes	age	gender	accent
9770fb36c8a3ad885675b6fd01e018a6ecc0353b19136b12ac865e8a9a07d8b6646d5860fefe2476e7aac0e7f531901de4761fcbdaa3932602d612a9fa13f5b0	common_voice_nl_17896359.mp3	Pas op dat je geen kwikdamp inademt.	1	0	twenties	male	belgium
2c94e40f85c6e402f2ac2a4ae39a4e099dc2e43324d04cd3d599d7f92a65a2c36228546994446e950b48bd610686bc319c33b3d53f4c479653faa3d56d28a018	common_voice_nl_17906198.mp3	Voor mij sushi met sojasaus graag.	1	0	thirties	male	netherlands
2c94e40f85c6e402f2ac2a4ae39a4e099dc2e43324d04cd3d599d7f92a65a2c36228546994446e950b48bd610686bc319c33b3d53f4c479653faa3d56d28a018	common_voice_nl_17906228.mp3	Doei!	1	0	thirties	male	netherlands
b900d5c4a7fd72186659cc0d4120429295053f4a33c0044fd2812a300ea05558401977e7723d0517def7faba641289e20336132784f1d81439d87fc509773459	common_voice_nl_17917389.mp3	Het is een typisch kenmerk van die ziekte volgens mijn dokter.	1	0	twenties	male	belgium
b900d5c4a7fd72186659cc0d4120429295053f4a33c0044fd2812a300ea05558401977e7723d0517def7faba641289e20336132784f1d81439d87fc509773459	common_voice_nl_17918651.mp3	Wordt oled de nieuwe standaard voor schermen?	1	0	twenties	male	belgium
b3243a6365e0867e63abb29af65395c60c5edd4c08e6dfc89aadfa30f92cd7b57b3194e74f4f68c10b36c9a690a4044ea1db1de30e9364eb793c3c8c4c6197ca	common_voice_nl_17944854.mp3	Het Vrijheidsbeeld staat in New York.	1	0			
2d9c94b2f366fb9b801ce6f4d5fa66f2402bcc42fe93307b77f71cd5045718082895feed810db5d13de5bb762dd41d0b16590246813b0ccc94e1b0bfc3d0e918	common_voice_nl_18054554.mp3	Zij heeft een talenknobbel.	1	0			
2d9c94b2f366fb9b801ce6f4d5fa66f2402bcc42fe93307b77f71cd5045718082895feed810db5d13de5bb762dd41d0b16590246813b0ccc94e1b0bfc3d0e918	common_voice_nl_18054556.mp3	Zijn daden vielen niet goed te praten.	1	0			
037cfe75436b3f535ccd1035df41847b8d0706c31b0d451151dae5b8e9eccc64404fe870ce14553dd286b13d7687ea2503608248bf8d1f62523b182d1cbf6906	common_voice_nl_18054674.mp3	De pers had zich in Den Haag verzameld voor een persconferentie.	1	0	twenties	male	netherlands
b58413d415382b453d9e5757cc2e1ab4c95ab69352133f19b17dcc3031931bc04870d33ac4b19b08b57e1e355c6521ebd5f5a75c3fca37b883a5d8c0ca552f42	common_voice_nl_18058292.mp3	Deze thee kan je alleen bij speciaalzaken kopen.	0	1	thirties	male	belgium
