client_id	path	sentence	up_votes	down_votes	age	gender	accent
95b4a0ac7a9d3413cd0047b6508a26e038361b39504a2d4d192cc0ec3a71e605a09a7dfe3c04fdd8da5dbd635bbaeb49fb8e08be52626da6fbf83dd2b37fecb4	common_voice_nl_17699809.mp3	Zij gooit de handdoek in de ring.	2	0	twenties	male	netherlands
95b4a0ac7a9d3413cd0047b6508a26e038361b39504a2d4d192cc0ec3a71e605a09a7dfe3c04fdd8da5dbd635bbaeb49fb8e08be52626da6fbf83dd2b37fecb4	common_voice_nl_17699978.mp3	De deur stond op een kier.	2	0	twenties	male	netherlands
95b4a0ac7a9d3413cd0047b6508a26e038361b39504a2d4d192cc0ec3a71e605a09a7dfe3c04fdd8da5dbd635bbaeb49fb8e08be52626da6fbf83dd2b37fecb4	common_voice_nl_17700490.mp3	De kussens in dat hotel waren niet dik genoeg.	2	0	twenties	male	netherlands
48f9b4e5f739c6de634e50851453f5a27019caf7d9deccb8b152d0bc190ed6c17cb385939bc754f0dc51f3b99cdcd711908cb29150fbded0501a20eac646331f	common_voice_nl_17703308.mp3	Er kwam bijna geen zonlicht door de kruinen van de bomen.	2	1	thirties	male	belgium
48f9b4e5f739c6de634e50851453f5a27019caf7d9deccb8b152d0bc190ed6c17cb385939bc754f0dc51f3b99cdcd711908cb29150fbded0501a20eac646331f	common_voice_nl_17703360.mp3	Die serie is te zien op Netflix.	2	0	thirties	male	belgium
48f9b4e5f739c6de634e50851453f5a27019caf7d9deccb8b152d0bc190ed6c17cb385939bc754f0dc51f3b99cdcd711908cb29150fbded0501a20eac646331f	common_voice_nl_17703382.mp3	Vroeger had dat dorp een omwalling.	2	1	thirties	male	belgium
67a9f153c3c4c2b294591499e59663656a0df1af6cb43546acb1539b69fececcae6a8c58e96122b82d06a17bbf55502518562c92d1a3589e79c241214810b0f8	common_voice_nl_17691543.mp3	Na het winnen van de vierde set moest de titanenstrijd in de vijfde set beslecht worden.	3	0	twenties	male	netherlands
67a9f153c3c4c2b294591499e59663656a0df1af6cb43546acb1539b69fececcae6a8c58e96122b82d06a17bbf55502518562c92d1a3589e79c241214810b0f8	common_voice_nl_17691569.mp3	Het hek was er om indringers tegen te houden.	2	0	twenties	male	netherlands
0b712af1f6634f182150119d0d5dc00cb15b0c47dc5961af93d2a229d7063510f95bff5235c32e0bcb2c297a97e518c69a6f6c84cd74a84df8dfdf195fc2c487	common_voice_nl_17695852.mp3	Zijn tegenstander was veel sterker en hij maakte geen schijn van kans.	2	0			
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17707044.mp3	Je kan een cursus volgen om te leren vliegen met een helikopter.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17707046.mp3	Ik heb last van hooikoorts.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17707049.mp3	De stroom is uitgevallen nadat de zekering is gesprongen.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17707065.mp3	Hun kelder was niet groot genoeg voor al hun rommel.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17712835.mp3	In onze buurt kent iedereen elkaar.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17712838.mp3	Joden komen samen in die synagoge.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17712839.mp3	Mag ik je handtekening?	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17712840.mp3	Schildpadden zijn langzaam.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17712841.mp3	De peuter stapelde de blokken op elkaar.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17712843.mp3	In de bakkerij rook het naar vers gebakken brood.	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17740778.mp3	Heb je Marie gezien?	2	0	twenties	male	netherlands
fa58c2af87311a583aebd728f7ab9825b10e8e9fc27d01aaab9510439388cc56f5a79697e0f519e7f9cdc205575f21807b8635917639c179d8892000f9c493c2	common_voice_nl_17740780.mp3	Mijn collega gaat scheiden van haar man.	2	1	twenties	male	netherlands
99e874bbeb53f146b0ba609b279b56b02fe14ee951573055e2abdf47f7da57a3addec21e6c6cb7f0b57ac87e736afd8e3632780e98b10a560922bd13a2b6792d	common_voice_nl_17706452.mp3	Dat is een retorische vraag.	2	0	twenties	male	netherlands
